Month,Geography,Estimate,North American Industry Classification System (NAICS),Value,Monthly Change,Yearly change,Indexed value
Dec 2016,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jan 2017,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Feb 2017,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Mar 2017,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Apr 2017,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
May 2017,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jun 2017,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jul 2017,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Aug 2017,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Sep 2017,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Oct 2017,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Nov 2017,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Dec 2017,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jan 2018,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,185.55",..,.., 88.7
Feb 2018,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,289.45",  8.8%,.., 96.5
Mar 2018,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,324.10",  2.7%,.., 99.1
Apr 2018,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,380.77",  4.3%,..,103.3
May 2018,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,416.62",  2.6%,..,106.0
Jun 2018,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,347.00", -4.9%,..,100.8
Jul 2018,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,295.10", -3.9%,.., 96.9
Aug 2018,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,363.47",  5.3%,..,102.0
Sep 2018,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,316.71", -3.4%,.., 98.5
Oct 2018,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,487.66", 13.0%,..,111.3
Nov 2018,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,505.91",  1.2%,..,112.7
Dec 2018,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction","$1,332.63",-11.5%,.., 99.7
